expedition,dive_number,dive_name,potential_garden,time_start,time_end,total time,frame grab every min,frame grab 1,frame ID 1,frame grab 2,frame ID 2,frame grab 3,frame ID 3,frame grab 4,frame ID 4,frame grab 5,frame ID 5,frame grab 6,frame ID 6,frame grab 7,frame ID 7,frame grab 8,frame ID 8,frame grab 9,frame ID 9,frame grab 10,frame ID 10,time_loc_1,lon_loc_1,lat_loc_1,depth_loc_1,time_loc_2,lon_loc_2,lat_loc_2,depth_loc_2,lasers_on,dominating_fauna,elevation,comment
EX2304,2,230402,2304-2A,7/16/23 20:36,7/16/23 22:05,89.1666666666667,8.92,20:36,1_203909,20:45,2_205111,20:54,3_205459,21:03,4_205735,21:12,5_211847,21:21,6_212126,21:30,7_213129,21:39,8_215013,9:48:00 PM (no good frame),9_213521,9:57:00 PM (no good frame),10_210645,7/16/23 20:36,-156.527849,54.754168,2269.5956,7/16/23 22:05,-156.528801,54.754859,2202.2417,yes,"sponges (PD03, PD02, PD05)",flat,sticks
EX2304,7,230407,2304-7A,7/23/23 17:39,7/24/23 0:06,386.733333333333,38.67,17:39,1_174453,18:20,2_181239,19:00,3_185428,19:40,4_193557,20:20,5_201919,21:00,6_212438,21:40,7_215329,22:20,8_222640,23:00,9_230000,23:40,10_233941,7/23/23 17:39,-169.775965,53.293467,777.2718,7/24/23 0:06,-169.780356,53.2914,532.4322,yes,sponge and coral,slight incline,diverse
EX2306,3,230603,2306-3A,8/26/23 19:25,8/26/23 20:50,84.8833333333333,8.49,19:30,1_193235,19:40,2_194145,19:50,3_nolasers_201343,20:00,4_200713,8:10:00 PM (no lasers),5_202350,20:20,6_203608,20:30,7_205053,20:40,8_193355,20:50,9_nolasers_201453,21:00,10_202527,8/26/23 19:25,-146.313306,56.491718,838.7715,8/26/23 20:50,-146.315119,56.490963,787.8098,,,check,check video
EX2306,5,230605,2306-5A,8/28/23 20:10,8/28/23 22:47,157.766666666667,15.78,20:10,1_201328,20:25,2_nolasers_202631,20:40,3_nolasers204228,8:55:00 PM (no lasers),4_213425,9:10:00 PM (no lasers),5_214745,9:25:00 PM (no lasers),6_225655,21:40,7_230032,21:55,8_201508,10:10:00 PM (changed to earlier as no lasers),9_232900,10:25:00 PM (changed to earlier as no frames),10_202353,8/28/23 20:10,-144.300736,56.089639,579.7123,8/28/23 22:47,-144.304265,56.087166,433.9817,,,,no lasers until 21:34
EX2306,7,230607,2306-7A,8/30/23 19:06,8/30/23 21:35,148.883333333333,14.89,19:06,1_190612,19:20,2_192047,7:45:00 PM (no lasers),3_211342,8:00:00 PM (no lasers),4_211700,8:15:00 PM (no lasers),5_213502,8:30:00 PM (no lasers),6_nolasers_200347,8:45:00 PM (no lasers),7_nolasers_201827,9:00:00 PM (no lasers),8_nolasers_203000,21:15,9_nolasers_205715,21:30,10_193037,8/30/23 19:06,-140.832651,55.01326,3276.397,8/30/23 21:35,-140.833879,55.012352,3193.2476,,,flat,
EX2306,12,230612,2306-12A,9/5/23 19:30,9/5/23 21:29,119.95,12.00,19:30,1_193344,19:42,2_202339,19:54,3_203032,20:06,4_210207,20:12,5_210651,20:24,6_211730,20:36,7_213513,20:48,8_214117,21:00,9_nolasers_20000,21:12,10_223405,9/5/23 19:30,-134.518877,55.031892,1585.8863,9/5/23 21:29,-134.517624,55.031547,1532.3117,,,flat,sticks
EX2306,15,230615,2306-15A,9/10/23 20:00,9/10/23 23:15,195,19.50,20:00,EX2306_Dive15 Middleton Canyon_20230910T200340.000Z-001,20:20,EX2306_Dive15 Middleton Canyon_20230910T202410.000Z-001,20:40,EX2306_Dive15 Middleton Canyon_20230910T203735.000Z-001,21:00,EX2306_Dive15 Middleton Canyon_20230910T205500.000Z-001,21:20,EX2306_Dive15 Middleton Canyon_20230910T212710.000Z-001,21:40,EX2306_Dive15 Middleton Canyon_20230910T213925.000Z-001,22:00,EX2306_Dive15 Middleton Canyon_20230910T215955.000Z-001,22:20,8_EX2306_Dive15 Middleton Canyon_20230910T221630.000Z-001,22:40,9_EX2306_Dive15 Middleton Canyon_20230910T223920.000Z-001,23:00,10_EX2306_Dive15 Middleton Canyon_20230910T230005.000Z-001,9/10/23 20:03,-145.715127,59.248473,2173.3429,9/10/23 23:14,-145.711986,59.249746,2009.0146,,,,
EX2306,18,230618,2306-18A,9/12/23 20:16,9/12/23 20:35,19.1166666666667,1.91,20:16,,20:18,,20:20,,20:22,,20:24,,20:26,,20:28,,20:30,,20:32,,20:34,,9/12/23 20:16,-147.012279,59.073919,1823.874,9/12/23 20:35,-147.011869,59.073977,1818.4246,no,,wall,wall 1. no lasers
EX2306,18,230618,2306-18B,9/12/23 22:00,9/12/23 22:50,50.1333333333333,5.01,22:00,1_220228,22:05,2_220940,22:10,3_221347,22:15,4_221905,22:20,5_222621,22:25,6_223233,22:30,7_224327,22:35,8_224429,22:40,9_224628,22:45,10_223200,9/12/23 22:00,-147.011562,59.07334,1763.9329,9/12/23 22:50,-147.011345,59.073227,1746.3971,,,wall,wall 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,